,Homes,Dones,Total
De 0 a 4 anys,169.716,161.313,331.029
De 5 a 9 anys,202.834,190.777,393.611
De 10 a 14 anys,224.622,210.02,434.642
De 15 a 19 anys,214.844,197.232,412.076
De 20 a 24 anys,210.054,194.782,404.836
De 25 a 29 anys,222.311,215.356,437.667
De 30 a 34 anys,231.914,233.617,465.531
De 35 a 39 anys,260.651,265.245,525.896
De 40 a 44 anys,325.347,320.002,645.349
De 45 a 49 anys,330.936,319.863,650.799
De 50 a 54 anys,293.287,289.217,582.504
De 55 a 59 anys,256.612,265.559,522.171
De 60 a 64 anys,220.411,239.537,459.948
De 65 a 69 anys,183.182,207.007,390.189
De 70 a 74 anys,160.745,191.384,352.129
De 75 a 79 anys,123.376,156.58,279.956
De 80 a 84 anys,82.981,118.889,201870
De 85 a 89 anys,56.643,99.623,156.266
De 90 a 94 anys,21.755,50.558,72.313
De 95 anys i més,4.894,16.082,20.976